-2.70547e-03 3.92690e-03 1.54812e-03 4.77500e-04
-2.93390e-03 1.23889e-03 -3.69130e-04 4.77400e-04
-3.57526e-03 6.74097e-03 3.52447e-03 4.77300e-04
-3.90750e-03 6.86697e-03 -1.40454e-03 4.77200e-04
8.25934e-04 4.95748e-03 -3.71849e-03 4.77100e-04
8.53721e-04 2.39718e-03 -4.32515e-03 4.77000e-04
-1.70454e-03 7.15225e-03 -3.69773e-04 4.76900e-04
3.98534e-03 6.79466e-03 4.29650e-03 4.76800e-04
-3.66681e-03 1.45878e-03 1.39119e-03 4.76700e-04
-1.92485e-03 7.11252e-03 1.27120e-03 4.76600e-04
1.98003e-03 2.06482e-03 3.87046e-03 4.76500e-04
-4.30558e-03 1.38061e-03 3.90433e-03 4.76400e-04
-1.61458e-03 1.88033e-03 -3.43288e-04 4.76300e-04
-1.65958e-04 7.25531e-03 -2.58766e-03 4.76200e-04
4.39542e-03 6.26812e-03 -4.46194e-03 4.76100e-04
1.57794e-03 7.08871e-03 -4.22393e-04 4.76000e-04
4.36147e-03 6.04685e-03 -1.61844e-03 4.75900e-04
-2.77017e-03 1.60550e-03 -1.54576e-03 4.75800e-04
4.51882e-03 2.74615e-03 3.37256e-03 4.75700e-04
-9.51137e-04 7.92086e-04 -1.38546e-03 4.75600e-04
4.73704e-04 6.33345e-04 -7.06177e-04 4.75500e-04
-3.60139e-03 3.95910e-03 4.28874e-03 4.75400e-04
2.28751e-04 5.76605e-03 1.17564e-03 4.75300e-04
-2.28215e-04 6.17628e-04 3.58694e-03 4.75200e-04
-2.25620e-03 1.56747e-03 2.29113e-03 4.75100e-04
-4.46496e-03 3.62976e-03 2.79941e-03 4.75000e-04
8.21481e-04 1.12864e-03 3.38580e-03 4.74900e-04
-3.11088e-03 2.69093e-03 -3.07757e-03 4.74800e-04
2.82770e-03 5.81172e-03 -2.52583e-03 4.74700e-04
1.30859e-03 6.38521e-03 3.41254e-03 4.74600e-04
-9.32274e-04 4.39753e-03 3.11957e-03 4.74500e-04
-4.01237e-04 4.60869e-03 -1.57531e-03 4.74400e-04
3.68601e-03 7.08999e-03 -3.84491e-03 4.74300e-04
1.50483e-03 4.32679e-03 -3.30661e-03 4.74200e-04
-3.02548e-04 3.05174e-03 -4.10662e-03 4.74100e-04
3.46772e-03 2.75763e-03 5.23866e-04 4.74000e-04
2.23673e-03 6.92471e-03 5.35050e-04 4.73900e-04
2.45203e-03 6.46768e-03 -5.32245e-04 4.73800e-04
7.95233e-04 2.36134e-03 -3.18033e-03 4.73700e-04
1.12615e-03 2.91929e-03 2.09673e-03 4.73600e-04
-5.92814e-04 3.09870e-03 4.36202e-04 4.73500e-04
3.27545e-03 4.01253e-03 4.04427e-03 4.73400e-04
2.28579e-03 1.37050e-03 4.17954e-04 4.73300e-04
-3.84009e-03 2.78782e-03 5.18569e-04 4.73200e-04
2.22647e-03 7.10058e-03 -2.66949e-03 4.73100e-04
4.33129e-03 4.15166e-03 1.06480e-03 4.73000e-04
1.61667e-03 1.63585e-03 -2.96784e-03 4.72900e-04
-2.05281e-03 1.03720e-03 -3.84135e-03 4.72800e-04
-1.70602e-03 4.52880e-03 1.24030e-03 4.72700e-04
-4.38760e-03 4.32405e-03 1.06962e-03 4.72600e-04
2.83181e-03 4.98714e-03 5.09203e-04 4.72500e-04
1.61869e-04 6.90959e-03 3.07098e-03 4.72400e-04
-3.21530e-03 7.16208e-03 2.21697e-04 4.72300e-04
1.00531e-03 2.29119e-03 8.87343e-04 4.72200e-04
-3.08257e-03 3.22187e-03 -4.52503e-03 4.72100e-04
-1.49831e-03 1.03201e-03 7.71509e-05 4.72000e-04
